City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tura,25.5198,90.2201,56.73,49,0,2.73,IN,1612823632
Albury,-36.0833,146.9167,69.01,60,1,9.22,AU,1612823373
Teknāf,20.8624,92.3058,63.75,60,0,7.49,BD,1612823634
Kattivākkam,13.2167,80.3167,73.4,83,40,8.81,IN,1612823636
Ābdānān,32.9926,47.4198,52.11,51,0,7.78,IR,1612823638
Leningradskiy,69.3833,178.4167,-22.43,84,74,10.25,RU,1612823352
Ilebo,-4.3167,20.5833,73.69,76,100,1.68,CD,1612823640
Qasigiannguit,68.8193,-51.1922,24.8,36,0,24.16,GL,1612823641
Rogers,36.3668,-95.5836,23.0,100,90,4.61,US,1612823422
Mayumba,-3.432,10.6554,79.93,86,100,7.18,GA,1612823644
Naze,28.3667,129.4833,57.2,62,75,12.66,JP,1612823645
Timmins,48.4669,-81.3331,8.6,78,90,2.3,CA,1612823613
Blackfoot,43.1905,-112.345,39.2,38,20,27.63,US,1612823647
Souillac,-20.5167,57.5167,78.8,83,40,4.61,MU,1612823649
Zaterechnyy,44.7931,45.2097,27.45,98,100,10.63,RU,1612823650
Lékoni,-1.5843,14.2591,80.31,63,77,4.27,GA,1612823651
Nemuro,43.3236,145.575,19.87,88,84,21.21,JP,1612823652
Fendou,46.65,124.8667,2.59,92,100,6.51,CN,1612823653
Ucluelet,48.9329,-125.5528,44.01,52,20,4.61,CA,1612823455
Badarpur,24.9,92.6,58.19,55,0,2.98,IN,1612823656
Coquimbo,-29.9533,-71.3436,66.2,68,0,12.66,CL,1612823657
Margate,51.3813,1.3862,28.99,80,100,7.0,GB,1612823423
Gelemso,8.8167,40.5167,55.89,88,99,8.32,ET,1612823659
Bingöl,38.8847,40.4939,37.74,78,100,1.54,TR,1612823660
Leh,34.1667,77.5833,12.4,68,31,1.12,IN,1612823582
Kavaratti,10.5669,72.642,81.14,64,0,7.81,IN,1612823663
Maputo,-25.9653,32.5892,80.6,78,40,6.91,MZ,1612823664
Brae,60.3964,-1.353,31.17,87,24,8.59,GB,1612823665
Anadyr,64.75,177.4833,10.4,72,20,15.66,RU,1612823666
Liverpool,53.4106,-2.9779,32.0,86,75,9.22,GB,1612823651
Loandjili,-4.7561,11.8578,80.51,85,92,6.73,CG,1612823669
Balkanabat,39.5108,54.3671,47.68,71,12,1.63,TM,1612823670
Bāsugaon,26.4667,90.4,58.39,54,0,3.18,IN,1612823671
Klaksvík,62.2266,-6.589,32.0,80,20,8.05,FO,1612823672
Utete,-7.986,38.758,74.26,93,100,1.54,TZ,1612823673
San Patricio,28.017,-97.5169,77.0,69,90,16.11,US,1612823674
Acaraú,-2.8856,-40.12,79.74,85,87,11.79,BR,1612823676
Meïganga,6.5167,14.3,61.12,30,77,2.01,CM,1612823677
Wynyard,-41.0,145.7167,60.01,52,20,11.65,AU,1612823679
Santa Rosa,14.3122,121.1114,78.8,73,90,4.61,PH,1612823681
Pochutla,15.7432,-96.4661,87.8,48,20,5.5,MX,1612823683
Sidi Ben Nour,35.5333,10.9167,59.0,47,0,10.36,TN,1612823685
Jieshi,22.8134,115.8257,64.99,68,97,1.99,CN,1612823687
Mezen',65.8522,44.24,-20.18,88,95,4.59,RU,1612823688
Micheweni,-4.9667,39.8333,80.38,83,100,12.35,TZ,1612823689
Canguaretama,-6.38,-35.1289,82.4,74,20,12.66,BR,1612823690
Dengzhou,37.8086,120.7508,32.95,80,0,12.77,CN,1612823691
Bilibino,68.0546,166.4372,5.05,82,100,7.2,RU,1612823692
Shache,38.4167,77.2406,30.31,80,14,2.48,CN,1612823694
Ashtabula,41.7001,-80.7665,23.0,58,90,3.44,US,1612823695
Pauini,-7.7136,-66.9764,77.23,94,98,1.45,BR,1612823696
Chara,56.9064,118.2631,2.71,85,49,1.83,RU,1612823697
Nauta,-4.5061,-73.5757,79.14,91,58,3.67,PE,1612823699
Challapata,-18.9,-66.7667,55.99,56,96,2.91,BO,1612823701
Wanning,18.8003,110.3967,71.08,90,92,8.23,CN,1612823702
Smithers,54.7804,-127.1743,5.0,56,40,13.8,CA,1612823637
Pangnirtung,66.1451,-65.7125,19.4,49,1,8.05,CA,1612823704
Wanganui,-39.9333,175.05,75.0,50,97,15.01,NZ,1612823705
Awka,6.2101,7.0741,81.61,71,81,7.18,NG,1612823706
Malanje,-9.5402,16.341,64.29,97,96,6.76,AO,1612823708
Rio Tuba,8.5061,117.4317,79.38,80,100,9.89,PH,1612823709
Kulhudhuffushi,6.6221,73.07,81.07,67,63,4.5,MV,1612823710
Custódia,-8.0875,-37.6431,86.27,27,76,5.21,BR,1612823711
Husavik,66.0449,-17.3389,28.4,86,75,8.05,IS,1612823712
Vellore,12.9333,79.1333,63.27,90,18,2.77,IN,1612823714
Kiryat Gat,31.61,34.7642,61.0,50,96,5.48,IL,1612823715
Shaghat,39.5625,45.9143,33.8,93,40,4.61,AM,1612823716
Acajutla,13.5928,-89.8275,81.68,69,14,5.84,SV,1612823581
Klin,56.3333,36.7333,-5.8,84,0,2.24,RU,1612823718
Tual,-5.6667,132.75,83.44,80,94,15.17,ID,1612823719
Saint-Michel-des-Saints,46.6834,-73.9159,10.99,90,55,2.77,CA,1612823721
Progreso,21.2833,-89.6667,93.2,36,40,6.91,MX,1612823722
Luanda,-8.8368,13.2343,80.6,78,20,8.05,AO,1612823725
Dubti,11.7361,41.0853,72.82,58,90,2.64,ET,1612823727
Alofi,-19.0595,-169.9187,86.0,66,75,17.09,NU,1612823728
Montrose,38.4166,-108.2673,59.0,8,1,18.41,US,1612823729
Rodrigues Alves,-7.738,-72.6509,78.8,100,90,9.22,BR,1612823730
Roald,62.5833,6.1333,21.2,63,0,9.22,NO,1612823731
Vanavara,60.34,102.2797,15.84,97,95,9.37,RU,1612823733
Aljezur,37.3191,-8.8033,54.0,100,53,3.0,PT,1612823734
Broken Hill,-31.95,141.4333,69.8,30,0,9.22,AU,1612823530
Bordighera,43.7806,7.6645,50.0,93,75,8.05,IT,1612823737
Luau,-10.7073,22.2247,66.47,99,100,4.99,AO,1612823739
Salalah,17.0151,54.0924,71.6,73,0,2.3,OM,1612823740
Constitución,-35.3333,-72.4167,63.16,78,12,13.15,CL,1612823742
Awjilah,29.1081,21.2869,58.6,49,100,10.31,LY,1612823743
Swan Hill,-35.3378,143.5544,68.23,47,0,10.04,AU,1612823744
Chumikan,54.7183,135.315,-3.37,84,99,23.44,RU,1612823745
San Ramon,37.7799,-121.978,64.0,39,1,3.44,US,1612823747
Verāval,20.9,70.3667,69.66,43,0,8.75,IN,1612823748
Morgan City,29.6994,-91.2068,66.2,88,90,8.05,US,1612823749
Camaná,-16.6228,-72.7111,74.26,75,51,7.38,PE,1612823750
Piribebuy,-25.4833,-57.05,87.8,45,20,2.3,PY,1612823752
Vao,-22.6667,167.4833,77.47,80,11,6.89,NC,1612823753
Idritsa,56.3316,28.8988,10.6,94,100,7.99,RU,1612823754
Celestún,20.8667,-90.4,78.28,78,0,13.09,MX,1612823755
Arlit,18.7369,7.3853,72.28,17,88,5.61,NE,1612823756
Tsimmerbude,54.675,20.1347,17.6,86,90,24.61,RU,1612823757
Porto Nacional,-10.7081,-48.4172,80.6,83,75,4.61,BR,1612823759
Eilat,29.5581,34.9482,68.0,49,0,4.5,IL,1612823760
Changji,44.0167,87.3167,15.8,92,46,4.47,CN,1612823761
Sembakung,3.8167,117.25,77.0,94,75,2.3,ID,1612823762
Huangmei,30.1924,116.025,39.65,77,85,6.33,CN,1612823763
Peniche,39.3558,-9.3811,55.99,89,100,17.0,PT,1612823766
Fraga,41.5229,0.3489,45.0,93,0,8.05,ES,1612823767
Davidson,36.1501,-86.7833,48.2,57,40,8.05,US,1612823768
Huron,41.1501,-82.5499,19.99,80,100,1.99,US,1612823769
Ensley,30.5188,-87.2728,62.01,63,1,9.22,US,1612823772
Lāsalgaon,20.15,74.2333,60.06,31,0,2.77,IN,1612823773
Murree,33.9073,73.393,53.01,73,0,5.77,PK,1612823774
Coahuayana Viejo,18.7333,-103.6833,80.6,54,20,4.74,MX,1612823775
La Ronge,55.1001,-105.2842,-20.2,63,100,16.11,CA,1612823777
Finschhafen,-6.6024,147.8681,85.23,67,65,3.27,PG,1612823779
Maniitsoq,65.4167,-52.9,24.39,82,0,12.8,GL,1612823780
Whitehorse,60.7161,-135.0538,-15.0,63,20,5.75,CA,1612823782
Srandakan,-7.9386,110.2506,76.17,87,95,5.01,ID,1612823783
Kenora,49.8167,-94.4337,-13.0,48,1,17.27,CA,1612823785
Mpika,-11.8343,31.4529,63.99,96,100,2.39,ZM,1612823786
Kutum,14.2,24.6667,53.71,37,5,8.63,SD,1612823787
Carambeí,-24.9178,-50.0972,61.34,86,25,6.93,BR,1612823788
Örnsköldsvik,63.2909,18.7153,10.4,92,0,8.05,SE,1612823789
Olavarría,-36.8927,-60.3225,68.77,43,2,10.83,AR,1612823530
Port Lincoln,-34.7333,135.8667,69.06,69,23,15.12,AU,1612823792
Alta Floresta,-9.8756,-56.0861,82.4,78,40,4.61,BR,1612823793
Ubatuba,-23.4339,-45.0711,75.2,64,75,10.36,BR,1612823794
Kamina,-8.7386,24.9906,66.24,97,100,3.09,CD,1612823795
Matadi,-5.8167,13.45,77.43,89,100,3.38,CD,1612823797
Wanaka,-44.7,169.15,59.0,84,100,1.99,NZ,1612823798
Canandaigua,42.8742,-77.288,19.0,51,100,1.52,US,1612823799
Thinadhoo,0.5333,72.9333,82.27,80,88,13.04,MV,1612823551
Muswellbrook,-32.2667,150.9,70.63,61,71,10.56,AU,1612823801
Concordia,-31.393,-58.0209,87.8,58,75,8.05,AR,1612823802
Caibarién,22.5206,-79.4669,82.4,54,20,14.97,CU,1612823805
Grindavik,63.8424,-22.4338,30.2,80,0,9.22,IS,1612823806
Barberton,-25.7884,31.0532,75.0,94,64,9.22,ZA,1612823807
Dafeng,23.4517,108.5881,56.82,77,100,8.25,CN,1612823808
Atar,20.5169,-13.0499,62.67,29,0,8.34,MR,1612823810
Balaka,-14.9793,34.9558,70.41,94,100,2.17,MW,1612823811
Wajir,1.7471,40.0573,78.66,64,96,16.53,KE,1612823813
Bud,39.447,-86.1758,27.0,74,98,4.27,US,1612823814
Esperance,-33.8667,121.9,59.0,94,75,6.91,AU,1612823815
Seddon,-37.8068,144.8916,66.0,67,40,10.36,AU,1612823817
Port Macquarie,-31.4333,152.9167,72.0,94,90,6.91,AU,1612823819
Paliā Kalān,28.45,80.5833,52.21,70,0,2.77,IN,1612823820
Blackwater,-23.5833,148.8833,77.99,72,85,15.52,AU,1612823822
Zabaykal'sk,49.6333,117.3167,4.14,92,2,5.97,RU,1612823824
Madang,-5.2246,145.7966,82.04,77,95,7.99,PG,1612823825
Pimentel,-6.8367,-79.9342,78.8,61,0,21.85,PE,1612823826
Horishni Plavni,49.0097,33.6455,24.17,97,100,21.25,UA,1612823828
Krasnovishersk,60.4078,57.082,-12.55,88,100,6.89,RU,1612823829
Poum,-20.2333,164.0167,81.05,72,36,9.44,NC,1612823830
Lázaro Cárdenas,17.9583,-102.2,79.75,62,0,9.62,MX,1612823832
Jiexiu,37.0244,111.9125,35.04,77,0,3.58,CN,1612823833
Sabang,5.8933,95.3214,81.5,76,13,12.86,ID,1612823834
Shahr-e Bābak,30.1165,55.1186,42.89,61,0,2.21,IR,1612823835
eMkhomazi,-30.2067,30.7978,70.0,96,98,5.26,ZA,1612823837
Khuzdar,27.7384,66.6434,55.98,28,70,4.85,PK,1612823840
Kawalu,-7.3817,108.2082,71.8,89,100,2.48,ID,1612823841
Lumsden,50.6501,-104.8678,-15.0,69,1,24.16,CA,1612823843
Ishinomaki,38.4167,141.3,26.6,68,75,17.27,JP,1612823844
Turukhansk,65.8167,87.9833,-1.8,89,53,11.16,RU,1612823845
Kloulklubed,7.0419,134.2556,80.6,78,90,5.75,PW,1612823846
Cerknica,45.7931,14.3625,43.0,100,69,10.0,SI,1612823847
Blacksburg,37.2296,-80.4139,42.8,56,1,5.75,US,1612823782
Porto-Novo,6.4965,2.6036,84.2,84,20,12.66,BJ,1612823850
Lompoc,34.6391,-120.4579,60.8,63,1,9.22,US,1612823852
Batagay,67.6333,134.6333,-29.79,82,59,2.57,RU,1612823853
Kiruna,67.8557,20.2251,17.6,86,90,2.3,SE,1612823854
Kazanskoye,55.6448,69.235,-8.63,89,100,12.15,RU,1612823855
Salas,43.4118,-6.2602,51.8,71,75,6.91,ES,1612823857
Coral Springs,26.2712,-80.2706,81.0,69,40,12.66,US,1612823811
Nārāyanpet,16.7333,77.5,57.78,70,50,3.18,IN,1612823859
Otane,-39.8833,176.6333,70.0,61,99,1.01,NZ,1612823860
Upernavik,72.7868,-56.1549,15.82,77,0,3.49,GL,1612823861
Safi,32.2994,-9.2372,59.94,87,40,13.33,MA,1612823862
Rome,43.2128,-75.4557,24.8,36,1,0.89,US,1612823864
Kyzyl-Suu,42.3414,78.0056,34.75,76,77,6.71,KG,1612823865
Nanortalik,60.1432,-45.2371,29.28,90,85,14.14,GL,1612823866
Dunhua,43.3725,128.2425,-0.04,87,17,7.09,CN,1612823867
Tocopilla,-22.092,-70.1979,70.86,69,33,4.7,CL,1612823868
La Tuque,47.4334,-72.7824,12.2,44,94,2.3,CA,1612823803
Severnoye,56.3491,78.3619,-2.11,90,100,17.11,RU,1612823871
Akalkot,17.5333,76.2167,63.0,33,15,7.96,IN,1612823872
Guaçuí,-20.7756,-41.6794,64.65,96,100,3.18,BR,1612823873
El Viejo,12.6633,-87.1672,91.4,46,20,4.61,NI,1612823876
Ilo,-17.6394,-71.3375,72.5,77,88,5.88,PE,1612823877
Koratla,18.8167,78.7167,57.52,35,25,0.94,IN,1612823878
Qeshm,26.9581,56.2719,64.4,77,7,4.61,IR,1612823879
Ust-Maya,60.4167,134.5333,-21.23,86,100,2.06,RU,1612823881
Ushibukamachi,32.1906,130.0228,44.08,59,0,15.23,JP,1612823882
Jalu,29.0331,21.5482,58.73,48,100,10.71,LY,1612823883
Itarema,-2.9248,-39.9167,79.47,84,99,10.0,BR,1612823884
Balabac,7.9868,117.0645,79.97,83,97,13.09,PH,1612823885
Acapulco de Juárez,16.8634,-99.8901,84.2,65,20,10.36,MX,1612823737
Halifax,44.6453,-63.5724,28.4,80,95,11.5,CA,1612823888
Lexington,37.9887,-84.4777,37.99,57,91,4.32,US,1612823889
Boguchany,58.3814,97.4531,30.11,93,100,10.56,RU,1612823892
Lucapa,-8.4192,20.7447,65.86,94,100,2.77,AO,1612823893
Tārānagar,28.6709,75.0351,63.37,29,15,3.53,IN,1612823894
Daru,-9.0763,143.2092,81.46,83,100,4.7,PG,1612823762
Valverde del Camino,37.5751,-6.7543,55.0,79,44,1.99,ES,1612823897
Mackenzie,55.2999,-123.1698,-9.4,41,1,3.44,CA,1612823898
Honningsvåg,70.9821,25.9704,23.0,68,40,23.02,NO,1612823899
Mikumi,-7.4041,36.9831,70.84,89,100,2.33,TZ,1612823900
